size = 73
Motu          |Minor Mending     
Kamotu        |Mending           
Gimotu        |Greater Mending   
Kusamotu      |Deific Mending    
Motumaru      |Minor Mending Mist
Kamotumaru    |Mending Mist      
Gimotumaru    |Greater Mending Mist
Kusamotumaru  |Deific Mending Mist
Teka          |Minor Injury      
Kateka        |Injury            
Giteka        |Greater Injury    
Kusateka      |Deific Injury     
Dobudani      |Poison Drain      
Dobudanimaru  |Poison Drain Mist 
Tami          |Minor Energy Bolt
Katami        |Energy Bolt      
Gitami        |Greater Energy Bolt
Kusatami      |Deific Energy Bolt
Takumi        |Mobilize         
Ganazi        |Restoration      
Fadi          |Regeneration       
Kotari        |Sustenance         
Modoki        |Lightning          
Modokidan     |Chain Lightning    
Novadidan     |Unseen Chain       
Yari          |Protection         
Novadi        |Invisibility       
Yilazi        |Life Steal         
Dumoti        |Maelstrom          
Tamikar       |Energy Burst          
Todukar       |Flame Burst        
Muda          |Minor Summons      
Kamuda        |Summons            
Gimuda        |Greater Summons    
Kusamuda      |Deific Summons     
Kamaza        |Mana Dart          
Dobuza        |Poison Dart        
Pakaza        |Thorn Dart           
Toraza        |Stone Dart           
Komiza        |Ice Dart           
Toduza        |Flame Dart         
Dakima        |Acid Stream        
Sivama        |Wind Stream         
Kotarimaru    |Sustaining Mist    
Yarimaru      |Protective Mist    
Novadimaru    |Concealing Mist    
Dobumaru      |Poison Mist         
Timimaru      |Fear Mist           
Komidaku      |Ice Storm          
Komizadaku    |Ice Dart Storm     
Kamazadaku    |Mana Dart Storm    
Dobudaku      |Poison Storm       
Dakidaku      |Acid Storm         
Modokidaku    |Lightning Storm    
Dobudakidaku  |Poison Acid Storm  
Sivadaku      |Wind Storm         
Toradaku      |Stone Storm         
Todudaku      |Flame Storm        
Komasidaku    |Elemental Storm    
Pakazuma      |Thorn Shower       
Torazuma      |Storm Shower        
Komizuma      |Ice Shower         
Toduzuma      |Flame Shower       
Rotok         |Strength Boost     
Tsutok        |Stamina Boost      
Igatok        |Agility Boost      
Poratok       |Body Boost         
Jinasutok     |Mind Boost         
Rodani        |Strength Drain     
Tsudani       |Stamina Drain      
Igadani       |Agility Drain        
Poradani      |Body Drain         
Jinasudani    |Mind Drain         

